IDX,Norman_SusDat_ID,DTXSID,dtxcid,cas_number,Name,inchi,inchiKey
11,NS00000012,DTXSID8041793,DTXCID6021793,2971-90-6,Clopidol,"InChI=1S/C7H7Cl2NO/c1-3-5(8)7(11)6(9)4(2)10-3/h1-2H3,(H,10,11)",ZDPIZLCVJAAHHR-UHFFFAOYSA-N
12,NS00000013,DTXSID6046264,DTXCID4026264,59-06-3,Ethopabate,"InChI=1S/C12H15NO4/c1-4-17-11-7-9(13-8(2)14)5-6-10(11)12(15)16-3/h5-7H,4H2,1-3H3,(H,13,14)",GOVWOKSKFSBNGD-UHFFFAOYSA-N
13,NS00000014,DTXSID80881410,DTXCID601022665,100927-13-7,Idaverine,"InChI=1S/C24H39N3O3/c1-6-26(19(2)18-20-9-11-22(30-5)12-10-20)15-7-8-23(28)27-16-13-21(14-17-27)24(29)25(3)4/h9-12,19,21H,6-8,13-18H2,1-5H3/t19-/m0/s1",FUWZBLSXACKFQX-IBGZPJMESA-N
14,NS00000015,DTXSID9046813,DTXCID7026813,25875-51-8,Robenidine,"InChI=1S/C15H13Cl2N5/c16-13-5-1-11(2-6-13)9-19-21-15(18)22-20-10-12-3-7-14(17)8-4-12/h1-10H,(H3,18,21,22)",MOOFYEJFXBSZGE-UHFFFAOYSA-N
15,NS00000016,DTXSID3048283,DTXCID4028258,56341-08-3,Mabuterol,"InChI=1S/C13H18ClF3N2O/c1-12(2,3)19-6-10(20)7-4-8(13(15,16)17)11(18)9(14)5-7/h4-5,10,19-20H,6,18H2,1-3H3",JSJCTEKTBOKRST-UHFFFAOYSA-N
16,NS00000017,DTXSID7048378,DTXCID7028352,97825-25-7,Ractopamine,"InChI=1S/C18H23NO3/c1-13(2-3-14-4-8-16(20)9-5-14)19-12-18(22)15-6-10-17(21)11-7-15/h4-11,13,18-22H,2-3,12H2,1H3",YJQZYXCXBBCEAQ-UHFFFAOYSA-N
17,NS00000018,DTXSID1020803,DTXCID70803,71125-38-7,Meloxicam,"InChI=1S/C14H13N3O4S2/c1-8-7-15-14(22-8)16-13(19)11-12(18)9-5-3-4-6-10(9)23(20,21)17(11)2/h3-7,18H,1-2H3,(H,15,16,19)",ZRVUJXDFFKFLMG-UHFFFAOYSA-N
18,NS00000019,DTXSID60514274,DTXCID70465081,75369-61-8,5-Hydroxy-2-[2-methyl-3-(trifluoromethyl)anilino]pyridine-3-carboxylic acid,"InChI=1S/C14H11F3N2O3/c1-7-10(14(15,16)17)3-2-4-11(7)19-12-9(13(21)22)5-8(20)6-18-12/h2-6,20H,1H3,(H,18,19)(H,21,22)",JSXNJGKWSWRIGA-UHFFFAOYSA-N
19,NS00000020,DTXSID0048345,DTXCID5028320,27885-92-3,Imidocarb,"InChI=1S/C19H20N6O/c26-19(24-15-5-1-3-13(11-15)17-20-7-8-21-17)25-16-6-2-4-14(12-16)18-22-9-10-23-18/h1-6,11-12H,7-10H2,(H,20,21)(H,22,23)(H2,24,25,26)",SCEVFJUWLLRELN-UHFFFAOYSA-N
20,NS00000021,DTXSID6022686,DTXCID202686,3572-43-8,Bromhexine,"InChI=1S/C14H20Br2N2/c1-18(12-5-3-2-4-6-12)9-10-7-11(15)8-13(16)14(10)17/h7-8,12H,2-6,9,17H2,1H3",OJGDCBLYJGHCIH-UHFFFAOYSA-N
21,NS00000023,DTXSID90891424,DTXCID00842260,102280-35-3,Baquiloprim,"InChI=1S/C17H20N6/c1-10-7-11(8-12-9-21-17(19)22-16(12)18)13-5-4-6-20-14(13)15(10)23(2)3/h4-7,9H,8H2,1-3H3,(H4,18,19,21,22)",AIOWJIMWVFWROP-UHFFFAOYSA-N
22,NS00000024,DTXSID7045998,DTXCID5025998,80621-81-4,Rifaximin,"InChI=1S/C43H51N3O11/c1-19-14-16-46-28(18-19)44-32-29-30-37(50)25(7)40-31(29)41(52)43(9,57-40)55-17-15-27(54-10)22(4)39(56-26(8)47)24(6)36(49)23(5)35(48)20(2)12-11-13-21(3)42(53)45-33(34(32)46)38(30)51/h11-18,20,22-24,27,35-36,39,48-51H,1-10H3,(H,45,53)/b12-11+,17-15+,21-13-/t20-,22+,23+,24+,27-,35-,36+,39+,43-/m0/s1",NZCRJKRKKOLAOJ-XRCRFVBUSA-N
23,NS00000025,DTXSID3023215,DTXCID003215,154-21-2,Lincomycin,"InChI=1S/C18H34N2O6S/c1-5-6-10-7-11(20(3)8-10)17(25)19-12(9(2)21)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,21-24H,5-8H2,1-4H3,(H,19,25)/t9-,10-,11+,12-,13+,14-,15-,16-,18-/m1/s1",OJMMVQQUTAEWLP-KIDUDLJLSA-N
24,NS00000026,DTXSID6022973,DTXCID302973,548-73-2,Droperidol,"InChI=1S/C22H22FN3O2/c23-17-9-7-16(8-10-17)21(27)6-3-13-25-14-11-18(12-15-25)26-20-5-2-1-4-19(20)24-22(26)28/h1-2,4-5,7-11H,3,6,12-15H2,(H,24,28)",RMEDXOLNCUSCGS-UHFFFAOYSA-N
25,NS00000027,DTXSID1045166,DTXCID9025166,137-58-6,Lidocaine,"InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)",NNJVILVZKWQKPM-UHFFFAOYSA-N
26,NS00000028,DTXSID30878592,DTXCID801016636,547-77-3,Allotetrahydrocortisone,"InChI=1S/C21H32O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-15,18,22-23,26H,3-11H2,1-2H3/t12-,13+,14-,15-,18+,19-,20-,21-/m0/s1",SYGWGHVTLUBCEM-TUJFWAKLSA-N
27,NS00000029,DTXSID5021209,DTXCID101209,51-52-5,6-Propyl-2-thiouracil,"InChI=1S/C7H10N2OS/c1-2-3-5-4-6(10)9-7(11)8-5/h4H,2-3H2,1H3,(H2,8,9,10,11)",KNAHARQHSZJURB-UHFFFAOYSA-N
28,NS00000030,DTXSID6023577,DTXCID203577,79617-96-2,Sertraline,"InChI=1S/C17H17Cl2N/c1-20-17-9-7-12(13-4-2-3-5-14(13)17)11-6-8-15(18)16(19)10-11/h2-6,8,10,12,17,20H,7,9H2,1H3/t12-,17-/m0/s1",VGKDLMBJGBXTGI-SJCJKPOMSA-N
29,NS00000031,DTXSID6023737,DTXCID403737,93413-69-5,Venlafaxine,"InChI=1/C17H27NO2/c1-18(2)13-16(17(19)11-5-4-6-12-17)14-7-9-15(20-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3",PNVNVHUZROJLTJ-UHFFFAOYSA-N
30,NS00000032,DTXSID7022594,DTXCID502594,50-48-6,Amitriptyline,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3",KRMDCWKBEZIMAB-UHFFFAOYSA-N
31,NS00000033,DTXSID8045193,DTXCID6025193,106266-06-2,Risperidone,"InChI=1S/C23H27FN4O2/c1-15-18(23(29)28-10-3-2-4-21(28)25-15)9-13-27-11-7-16(8-12-27)22-19-6-5-17(24)14-20(19)30-26-22/h5-6,14,16H,2-4,7-13H2,1H3",RAPZEAPATHNIPO-UHFFFAOYSA-N
32,NS00000034,DTXSID7023225,DTXCID303225,846-49-1,Lorazepam,"InChI=1S/C15H10Cl2N2O2/c16-8-5-6-12-10(7-8)13(19-15(21)14(20)18-12)9-3-1-2-4-11(9)17/h1-7,15,21H,(H,18,20)",DIWRORZWFLOCLC-UHFFFAOYSA-N
33,NS00000035,DTXSID8022826,DTXCID802826,59729-33-8,Citalopram,"InChI=1/C20H21FN2O/c1-23(2)11-3-10-20(17-5-7-18(21)8-6-17)19-9-4-15(13-22)12-16(19)14-24-20/h4-9,12H,3,10-11,14H2,1-2H3",WSEQXVZVJXJVFP-UHFFFAOYSA-N
34,NS00000036,DTXSID9023388,DTXCID503388,132539-06-1,Olanzapine,"InChI=1S/C17H20N4S/c1-12-11-13-16(21-9-7-20(2)8-10-21)18-14-5-3-4-6-15(14)19-17(13)22-12/h3-6,11,19H,7-10H2,1-2H3",KVWDHTXUZHCGIO-UHFFFAOYSA-N
35,NS00000037,DTXSID3023425,DTXCID703425,61869-08-7,Paroxetine,"InChI=1S/C19H20FNO3/c20-15-3-1-13(2-4-15)17-7-8-21-10-14(17)11-22-16-5-6-18-19(9-16)24-12-23-18/h1-6,9,14,17,21H,7-8,10-12H2/t14-,17-/m0/s1",AHOUBRCZNHFOSL-YOEHRIQHSA-N
36,NS00000038,DTXSID6022844,DTXCID602844,303-49-1,Clomipramine,"InChI=1S/C19H23ClN2/c1-21(2)12-5-13-22-18-7-4-3-6-15(18)8-9-16-10-11-17(20)14-19(16)22/h3-4,6-7,10-11,14H,5,8-9,12-13H2,1-2H3",GDLIGKIOYRNHDA-UHFFFAOYSA-N
37,NS00000040,DTXSID6046761,DTXCID4026761,561-27-3,"3,6-Diacetylmorphine","InChI=1S/C21H23NO5/c1-11(23)25-16-6-4-13-10-15-14-5-7-17(26-12(2)24)20-21(14,8-9-22(15)3)18(13)19(16)27-20/h4-7,14-15,17,20H,8-10H2,1-3H3/t14-,15+,17-,20-,21-/m0/s1",GVGLGOZIDCSQPN-PVHGPHFFSA-N
38,NS00000041,DTXSID5023372,DTXCID803372,146-22-5,Nitrazepam,"InChI=1S/C15H11N3O3/c19-14-9-16-15(10-4-2-1-3-5-10)12-8-11(18(20)21)6-7-13(12)17-14/h1-8H,9H2,(H,17,19)",KJONHKAYOJNZEC-UHFFFAOYSA-N
39,NS00000042,DTXSID4046022,DTXCID2026022,58-25-3,Chlordiazepoxide,"InChI=1S/C16H14ClN3O/c1-18-15-10-20(21)16(11-5-3-2-4-6-11)13-9-12(17)7-8-14(13)19-15/h2-9H,10H2,1H3,(H,18,19)",ANTSCNMPPGJYLG-UHFFFAOYSA-N
40,NS00000043,DTXSID7022596,DTXCID302596,88150-42-9,Amlodipine,"InChI=1/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,17,23H,4,9-11,22H2,1-3H3",HTIQEAQVCYTUBX-UHFFFAOYSA-N
41,NS00000044,DTXSID9023049,DTXCID103049,437-38-7,Fentanyl,"InChI=1S/C22H28N2O/c1-2-22(25)24(20-11-7-4-8-12-20)21-14-17-23(18-15-21)16-13-19-9-5-3-6-10-19/h3-12,21H,2,13-18H2,1H3",PJMPHNIQZUBGLI-UHFFFAOYSA-N
42,NS00000045,DTXSID40891434,DTXCID00838825,35211-10-0,Norketamine,"InChI=1S/C12H14ClNO/c13-10-6-2-1-5-9(10)12(14)8-4-3-7-11(12)15/h1-2,5-6H,3-4,7-8,14H2",BEQZHFIKTBVCAU-UHFFFAOYSA-N
43,NS00000046,DTXSID60467650,DTXCID00418469,102335-57-9,8-Hydroxy Mirtazapine,"InChI=1S/C17H19N3O/c1-19-6-7-20-16(11-19)15-5-3-2-4-12(15)8-13-9-14(21)10-18-17(13)20/h2-5,9-10,16,21H,6-8,11H2,1H3",DAWYIZBOUQIVNX-UHFFFAOYSA-N
44,NS00000048,DTXSID60236666,DTXCID90159157,87857-41-8,Desmethylsertraline,"InChI=1S/C16H15Cl2N/c17-14-7-5-10(9-15(14)18)11-6-8-16(19)13-4-2-1-3-12(11)13/h1-5,7,9,11,16H,6,8,19H2/t11-,16-/m0/s1",SRPXSILJHWNFMK-ZBEGNZNMSA-N
45,NS00000049,DTXSID60182154,DTXCID70104645,2784-73-8,6-O-Monoacetylmorphine,"InChI=1S/C19H21NO4/c1-10(21)23-15-6-4-12-13-9-11-3-5-14(22)17-16(11)19(12,18(15)24-17)7-8-20(13)2/h3-6,12-13,15,18,22H,7-9H2,1-2H3/t12-,13+,15-,18-,19-/m0/s1",JJGYGPZNTOPXGV-SSTWWWIQSA-N
46,NS00000050,DTXSID6021327,DTXCID101327,03/08/1972,1-trans-delta-9-Tetrahydrocannabinol,"InChI=1S/C21H30O2/c1-5-6-7-8-15-12-18(22)20-16-11-14(2)9-10-17(16)21(3,4)23-19(20)13-15/h11-13,16-17,22H,5-10H2,1-4H3/t16-,17-/m1/s1",CYQFCXCEBYINGO-IAGOWNOFSA-N
47,NS00000051,DTXSID00891435,DTXCID201030551,01/09/7143,Ecgonine methyl ester,"InChI=1S/C10H17NO3/c1-11-6-3-4-7(11)9(8(12)5-6)10(13)14-2/h6-9,12H,3-5H2,1-2H3/t6-,7+,8-,9+/m0/s1",QIQNNBXHAYSQRY-UYXSQOIJSA-N
48,NS00000052,DTXSID1023231,DTXCID003231,50-37-3,Lysergide,"InChI=1S/C20H25N3O/c1-4-23(5-2)20(24)14-9-16-15-7-6-8-17-19(15)13(11-21-17)10-18(16)22(3)12-14/h6-9,11,14,18,21H,4-5,10,12H2,1-3H3/t14-,18-/m1/s1",VAYOSLLFUXYJDT-RDTXWAMCSA-N
49,NS00000053,DTXSID80891438,DTXCID901030552,28117-80-8,4'-Methyl-alpha-pyrrolidinopropiophenone,"InChI=1S/C14H19NO/c1-11-5-7-13(8-6-11)14(16)12(2)15-9-3-4-10-15/h5-8,12H,3-4,9-10H2,1-2H3",APSJUNFBAXIXLK-UHFFFAOYSA-N
50,NS00000054,DTXSID2020890,DTXCID60890,56-04-2,6-Methyl-2-thiouracil,"InChI=1S/C5H6N2OS/c1-3-2-4(8)7-5(9)6-3/h2H,1H3,(H2,6,7,8,9)",HWGBHCRJGXAGEU-UHFFFAOYSA-N
51,NS00000055,DTXSID4041230,DTXCID2021230,1668-54-8,2-Methyl-4-amino-6-methoxy-s-triazine,"InChI=1S/C5H8N4O/c1-3-7-4(6)9-5(8-3)10-2/h1-2H3,(H2,6,7,8,9)",NXFQWRWXEYTOTK-UHFFFAOYSA-N
52,NS00000056,DTXSID70891442,DTXCID001030555,NOCAS_891442,"N-(2,4-Dimethylphenyl)-N-methylimidoformamide","InChI=1S/C10H14N2/c1-8-4-5-10(9(2)6-8)12(3)7-11/h4-7,11H,1-3H3",UBLNTZNUSGCINZ-UHFFFAOYSA-N
53,NS00000057,DTXSID1037806,DTXCID9017806,3397-62-4,"6-Chloro-1,3,5-triazine-2,4-diamine","InChI=1S/C3H4ClN5/c4-1-7-2(5)9-3(6)8-1/h(H4,5,6,7,8,9)",FVFVNNKYKYZTJU-UHFFFAOYSA-N
54,NS00000058,DTXSID6037483,DTXCID4017483,187022-11-3,Acetochlor ESA,"InChI=1S/C14H21NO5S/c1-4-12-8-6-7-11(3)14(12)15(10-20-5-2)13(16)9-21(17,18)19/h6-8H,4-5,9-10H2,1-3H3,(H,17,18,19)",HXAIQOCRALNGKB-UHFFFAOYSA-N
55,NS00000059,DTXSID30891443,DTXCID701030556,120375-14-6,Metolachlor morpholinone,"InChI=1S/C14H19NO2/c1-4-12-7-5-6-10(2)14(12)15-11(3)8-17-9-13(15)16/h5-7,11H,4,8-9H2,1-3H3",DVBDYPDVNRJKNJ-UHFFFAOYSA-N
56,NS00000060,DTXSID8045012,DTXCID6025012,618-39-3,Benzenecarboximidamide,"InChI=1S/C7H8N2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H3,8,9)",PXXJHWLDUBFPOL-UHFFFAOYSA-N
57,NS00000061,DTXSID1073153,DTXCID2048169,80-73-9,"N,N'-Dimethylimidazolidinone","InChI=1S/C5H10N2O/c1-6-3-4-7(2)5(6)8/h3-4H2,1-2H3",CYSGHNMQYZDMIA-UHFFFAOYSA-N
58,NS00000063,DTXSID4037580,DTXCID2017580,1113-02-6,Omethoate,"InChI=1S/C5H12NO4PS/c1-6-5(7)4-12-11(8,9-2)10-3/h4H2,1-3H3,(H,6,7)",PZXOQEXFMJCDPG-UHFFFAOYSA-N
59,NS00000064,DTXSID8023846,DTXCID503846,30560-19-1,Acephate,"InChI=1/C4H10NO3PS/c1-4(6)5-9(7,8-2)10-3/h1-3H3,(H,5,6,7)",YASYVMFAVPKPKE-UHFFFAOYSA-N
60,NS00000065,DTXSID9034816,DTXCID7014816,6923-22-4,Monocrotophos,"InChI=1S/C7H14NO5P/c1-6(5-7(9)8-2)13-14(10,11-3)12-4/h5H,1-4H3,(H,8,9)/b6-5+",KRTSDMXIXPKRQR-AATRIKPKSA-N
61,NS00000066,DTXSID8020620,DTXCID00620,55-38-9,Fenthion,"InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)16-4)13-14(15,11-2)12-3/h5-7H,1-4H3",PNVJTZOFSHSLTO-UHFFFAOYSA-N
62,NS00000067,DTXSID8023848,DTXCID303848,34256-82-1,Acetochlor,"InChI=1S/C14H20ClNO2/c1-4-12-8-6-7-11(3)14(12)16(10-18-5-2)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",VTNQPKFIQCLBDU-UHFFFAOYSA-N
63,NS00000068,DTXSID5024211,DTXCID504211,15299-99-7,Napropamide,"InChI=1/C17H21NO2/c1-4-18(5-2)17(19)13(3)20-16-12-8-10-14-9-6-7-11-15(14)16/h6-13H,4-5H2,1-3H3",WXZVAROIGSFCFJ-UHFFFAOYSA-N
64,NS00000069,DTXSID0034518,DTXCID8014518,13684-56-5,Desmedipham,"InChI=1S/C16H16N2O4/c1-2-21-15(19)18-13-9-6-10-14(11-13)22-16(20)17-12-7-4-3-5-8-12/h3-11H,2H2,1H3,(H,17,20)(H,18,19)",WZJZMXBKUWKXTQ-UHFFFAOYSA-N
65,NS00000070,DTXSID9047209,DTXCID7027209,31895-21-3,Thiocyclam,"InChI=1S/C5H11NS3/c1-6(2)5-3-7-9-8-4-5/h5H,3-4H2,1-2H3",DNVLJEWNNDHELH-UHFFFAOYSA-N
66,NS00000071,DTXSID4027997,DTXCID007997,37764-25-3,Dichlormid,"InChI=1S/C8H11Cl2NO/c1-3-5-11(6-4-2)8(12)7(9)10/h3-4,7H,1-2,5-6H2",YRMLFORXOOIJDR-UHFFFAOYSA-N
67,NS00000072,DTXSID2043874,DTXCID0023874,51-67-2,Tyramine,"InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2",DZGWFCGJZKJUFP-UHFFFAOYSA-N
68,NS00000073,DTXSID0040961,DTXCID8020961,306-60-5,Agmatine,"InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)",QYPPJABKJHAVHS-UHFFFAOYSA-N
69,NS00000074,DTXSID4021135,DTXCID50809767,842-07-9,C.I. Solvent Yellow 14,"InChI=1S/C16H12N2O/c19-15-11-10-12-6-4-5-9-14(12)16(15)18-17-13-7-2-1-3-8-13/h1-11,19H",MRQIXHXHHPWVIL-UHFFFAOYSA-N
70,NS00000075,DTXSID3041742,DTXCID90809645,85-86-9,C.I. Solvent Red 23,"InChI=1S/C22H16N4O/c27-21-15-10-16-6-4-5-9-20(16)22(21)26-25-19-13-11-18(12-14-19)24-23-17-7-2-1-3-8-17/h1-15,27H",FHNINJWBTRXEBC-UHFFFAOYSA-N
71,NS00000076,DTXSID1035028,DTXCID9015028,99016-42-9,Alitame,"InChI=1S/2C14H25N3O4S.5H2O/c2*1-7(16-11(21)8(15)6-9(18)19)10(20)17-12-13(2,3)22-14(12,4)5;;;;;/h2*7-8,12H,6,15H2,1-5H3,(H,16,21)(H,17,20)(H,18,19);5*1H2/t2*7-,8+;;;;;/m11...../s1",NUFKRGBSZPCGQB-FLBSXDLDSA-N
72,NS00000077,DTXSID7021815,DTXCID001815,95-76-1,"3,4-Dichloroaniline","InChI=1S/C6H5Cl2N/c7-5-2-1-4(9)3-6(5)8/h1-3H,9H2",SDYWXFYBZPNOFX-UHFFFAOYSA-N
73,NS00000078,DTXSID7045522,DTXCID5025522,89796-99-6,Aceclofenac,"InChI=1S/C16H13Cl2NO4/c17-11-5-3-6-12(18)16(11)19-13-7-2-1-4-10(13)8-15(22)23-9-14(20)21/h1-7,19H,8-9H2,(H,20,21)",MNIPYSSQXLZQLJ-UHFFFAOYSA-N
74,NS00000079,DTXSID9020035,DTXCID10820519,1162-65-8,Aflatoxin B1,"InChI=1S/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3/t8-,17+/m0/s1",OQIQSTLJSLGHID-WNWIJWBNSA-N
75,NS00000081,DTXSID80891796,DTXCID301031033,7241-98-7,Aflatoxin G2,"InChI=1S/C17H14O7/c1-20-9-6-10-12(8-3-5-22-17(8)23-10)14-11(9)7-2-4-21-15(18)13(7)16(19)24-14/h6,8,17H,2-5H2,1H3/t8-,17+/m0/s1",WPCVRWVBBXIRMA-WNWIJWBNSA-N
76,NS00000082,DTXSID40891797,DTXCID001031034,6795-23-9,Aflatoxin M1,"InChI=1S/C17H12O7/c1-21-9-6-10-13(17(20)4-5-22-16(17)23-10)14-12(9)7-2-3-8(18)11(7)15(19)24-14/h4-6,16,20H,2-3H2,1H3/t16-,17-/m1/s1",MJBWDEQAUQTVKK-IAGOWNOFSA-N
77,NS00000083,DTXSID0039223,DTXCID1039,116-06-3,Aldicarb,"InChI=1S/C7H14N2O2S/c1-7(2,12-4)5-9-11-6(10)8-3/h5H,1-4H3,(H,8,10)",QGLZXHRNAYXIBU-UHFFFAOYSA-N
78,NS00000084,DTXSID6023862,DTXCID503862,1646-88-4,Aldoxycarb,"InChI=1S/C7H14N2O4S/c1-7(2,14(4,11)12)5-9-13-6(10)8-3/h5H,1-4H3,(H,8,10)/b9-5+",YRRKLBAKDXSTNC-WEVVVXLNSA-N
79,NS00000085,DTXSID1033161,DTXCID70809805,1646-87-3,Aldicarb sulfoxide,"InChI=1/C7H14N2O3S/c1-7(2,13(4)11)5-9-12-6(10)8-3/h5H,1-4H3,(H,8,10)",BXPMAGSOWXBZHS-UHFFFAOYSA-N
80,NS00000086,DTXSID9022609,DTXCID002609,521-17-5,Androstenediol,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-17,20-21H,4-11H2,1-2H3/t13-,14-,15-,16-,17-,18-,19-/m0/s1",QADHLRWLCPCEKT-LOVVWNRFSA-N
81,NS00000087,DTXSID80950731,DTXCID101378877,09/05/2804,1-(4-Fluorophenyl)-4-[4-(pyridin-2-yl)piperazin-1-yl]butan-1-ol,"InChI=1S/C19H24FN3O/c20-17-8-6-16(7-9-17)18(24)4-3-11-22-12-14-23(15-13-22)19-5-1-2-10-21-19/h1-2,5-10,18,24H,3-4,11-15H2",LVXYAFNPMXCRJI-UHFFFAOYSA-N
82,NS00000088,DTXSID2045361,DTXCID0025361,1649-18-9,Azaperone,"InChI=1S/C19H22FN3O/c20-17-8-6-16(7-9-17)18(24)4-3-11-22-12-14-23(15-13-22)19-5-1-2-10-21-19/h1-2,5-10H,3-4,11-15H2",XTKDAFGWCDAMPY-UHFFFAOYSA-N
83,NS00000089,DTXSID3048730,DTXCID6028656,08/09/5534,Beclazone,"InChI=1S/C28H37ClO7/c1-6-23(33)35-15-22(32)28(36-24(34)7-2)16(3)12-20-19-9-8-17-13-18(30)10-11-25(17,4)27(19,29)21(31)14-26(20,28)5/h10-11,13,16,19-21,31H,6-9,12,14-15H2,1-5H3/t16-,19-,20-,21-,25-,26-,27-,28-/m0/s1",KUVIULQEHSCUHY-XYWKZLDCSA-N
84,NS00000090,DTXSID2041620,DTXCID0021620,06/05/3813,Benazolin,"InChI=1S/C9H6ClNO3S/c10-5-2-1-3-6-8(5)11(4-7(12)13)9(14)15-6/h1-3H,4H2,(H,12,13)",HYJSGOXICXYZGS-UHFFFAOYSA-N
85,NS00000092,DTXSID5023900,DTXCID103900,17804-35-2,Benomyl,"InChI=1S/C14H18N4O3/c1-3-4-9-15-13(19)18-11-8-6-5-7-10(11)16-12(18)17-14(20)21-2/h5-8H,3-4,9H2,1-2H3,(H,15,19)(H,16,17,20)",RIOXQFHNBCKOKP-UHFFFAOYSA-N
86,NS00000093,DTXSID3029572,DTXCID809572,98730-04-2,Benoxacor,"InChI=1/C11H11Cl2NO2/c1-7-6-16-9-5-3-2-4-8(9)14(7)11(15)10(12)13/h2-5,7,10H,6H2,1H3",PFJJMJDEVDLPNE-UHFFFAOYSA-N
